,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Katherine,AU,-14.4667,132.2667,91.72,49,100,10.36,overcast clouds
280,Dhidhdhoo,MV,6.8833,73.1,81.66,68,100,7.83,overcast clouds
281,Dmitriyevka,RU,54.75,55.3333,13.55,87,100,12.01,light snow
282,Kyzyl-Suu,KG,42.3414,78.0056,28.33,84,82,5.21,light snow
283,Tsogni,GA,-2.7942,10.0988,75.02,91,100,2.77,light rain
284,Touros,BR,-5.1989,-35.4608,77.9,75,94,11.83,overcast clouds
285,Sandwick,GB,60.0,-1.25,35.42,55,100,23.02,overcast clouds
286,Krasnoselkup,RU,65.7,82.4667,6.24,95,98,12.35,overcast clouds
287,Alma,CA,48.5501,-71.6491,6.1,97,100,2.48,light snow
288,Danshui,CN,22.7984,114.4672,71.65,47,6,3.71,clear sky
289,Bati,ET,11.1833,40.0167,57.45,94,60,1.79,light rain
290,North Bend,US,43.4065,-124.2243,53.24,100,100,0.0,overcast clouds
291,Naze,JP,28.3667,129.4833,61.72,57,91,14.65,overcast clouds
292,Khorixas,NA,-20.3667,14.9667,67.08,87,100,5.75,light rain
293,Cuenca,EC,-2.8833,-78.9833,59.13,77,66,3.44,broken clouds
294,Katsina,NG,12.9894,7.6006,51.84,31,5,12.03,clear sky
295,Mizan Teferi,ET,6.9833,35.5833,59.11,69,25,2.82,scattered clouds
296,Kropotkin,RU,45.4375,40.5756,21.79,96,83,8.03,snow
297,Tomatlan,MX,19.9333,-105.25,66.27,86,96,3.69,overcast clouds
298,Camacha,PT,33.0833,-16.3333,62.02,72,40,19.57,scattered clouds
299,Urumqi,CN,43.801,87.6005,14.95,86,100,0.0,mist
300,Khuzhir,RU,53.1939,107.3397,14.38,88,100,2.33,overcast clouds
301,Taoudenni,ML,22.6783,-3.9836,58.37,21,0,9.26,clear sky
302,Tarbes,FR,43.25,0.1667,44.26,81,100,2.3,overcast clouds
303,Lasa,IT,46.6166,10.7002,36.48,91,68,6.67,broken clouds
304,Lichinga,MZ,-13.3128,35.2406,64.49,100,75,4.61,light intensity drizzle
305,Lata,PT,40.1629,-8.3327,47.8,64,4,4.14,clear sky
306,Chino Valley,US,34.7575,-112.4538,46.17,63,0,6.91,clear sky
307,Bocas Del Toro,PA,9.3333,-82.25,78.33,75,55,5.1,broken clouds
308,Kaeo,NZ,-35.1,173.7833,75.33,61,100,9.19,light rain
309,Teknaf,BD,20.8624,92.3058,71.69,59,20,1.28,few clouds
310,Thessalon,CA,46.2501,-83.5666,3.96,81,69,7.38,broken clouds
311,Prince Rupert,CA,54.3161,-130.3201,46.49,87,100,21.85,mist
312,Kruisfontein,ZA,-34.0033,24.7314,64.26,63,64,6.17,broken clouds
313,Cabo San Lucas,MX,22.8909,-109.9124,76.3,70,99,3.0,overcast clouds
